,layer,cat,parent
787,7,金檀木科,冬青目
788,7,心翼果科,冬青目
789,7,冬青科,冬青目
790,5,马蝶花属,鸢尾科
791,7,叶顶花科,冬青目
792,7,多香木属,南鼠刺科
793,7,寄奴花属,南鼠刺科
794,6,椴树属,椴树亚科
795,5,梧桐亚科,锦葵科
796,6,滇桐属,椴树亚科
797,5,红花荷属,金缕梅科
798,6,棉族,锦葵亚科
799,5,双花木属,金缕梅科
800,6,山芝麻族,山芝麻亚科
801,6,榴梿族,山芝麻亚科
802,6,黄麻属,扁担杆亚科
803,6,扁担杆属,扁担杆亚科
804,6,布渣叶属,扁担杆亚科
805,6,刺蒴麻属,扁担杆亚科
806,6,假木棉属,木棉亚科
807,6,娑罗属,龙脑香亚科
808,6,龙脑香属,龙脑香亚科
809,6,中美木棉属,木棉亚科
810,6,木棉属,木棉亚科
811,6,猴面包树属,木棉亚科
812,5,海葡萄属,蓼科
813,6,一担柴属,扁担杆亚科
814,5,海石竹属,蓝雪科
815,6,锦葵族,锦葵亚科
816,6,木槿族,锦葵亚科
817,5,壳菜果属,金缕梅科
818,5,大黄属,蓼科
819,5,马蹄荷属,金缕梅科
820,5,金缕梅属,金缕梅科
821,5,秀柱花属,金缕梅科
822,5,蚊母树属,金缕梅科
823,5,蜡瓣花属,金缕梅科
824,5,荞麦属,蓼科
825,4,轮叶科,龙胆目
826,4,茜草科,龙胆目
827,4,囊叶木科,龙胆目
828,4,雨久花科,鸭跖草目
829,4,血皮草科,鸭跖草目
830,4,花水藓科,鸭跖草目
831,4,田葱科,鸭跖草目
832,8,青荚叶属,青荚叶科
833,4,匍茎草科,鸭跖草目
834,4,偏穗草科,鸭跖草目
835,8,冬青属,冬青科
836,8,琼榄属,心翼果科
837,5,藕,莲属
838,5,菊分支小作品,菊类植物
839,5,唇形类植物,菊类植物
840,4,海神草属,泽泻目
841,6,苹婆属,梧桐亚科
